Dataset,size,Parse_time,
Spark,5k,3.729378223,
Spark,10k,4.705919981,
Spark,20k,7.148297071,
Spark,40k,14.08718109,
Spark,60k,21.75958014,
Spark,80k,27.45730686,
Spark,100k,32.96019506,
HDFS,5k,4.404718161,
HDFS,10k,4.565032005,
HDFS,20k,5.037380934,
HDFS,40k,7.110481262,
HDFS,60k,9.753007889,
HDFS,80k,11.83852172,
HDFS,100k,14.31724334,
OpenStack,5k,4.767322063,
OpenStack,10k,10.48962975,
OpenStack,20k,7.977083921,
OpenStack,40k,10.65570211,
OpenStack,60k,13.739573,
OpenStack,80k,25.30446506,
OpenStack,100k,32.61667299,
BGL,5k,5.307398319,
BGL,10k,4.790988207,
BGL,20k,5.273492098,
BGL,40k,7.467383862,
BGL,60k,32.22967982,
BGL,80k,15.05485916,
BGL,100k,16.55907106,
HPC,5k,9.63451314,
HPC,10k,9.524135113,
HPC,20k,6.114682674,
HPC,40k,6.703946114,
HPC,60k,8.354465723,
HPC,80k,9.230563164,
HPC,100k,10.42480683,
Mac,5k,120.372766,110.9264591
Mac,10k,60.26596904,56.66996908
Mac,20k,178.6334422,152.1300151
Mac,40k,18038.50934,
timeout,,,
Android,5k,10.55222201,
Android,10k,13.18337178,
Android,20k,17.03242898,
Android,40k,18.34798002,
Android,60k,28.48631406,
Android,80k,39.21897197,
Android,100k,50.10771585,
HealthApp,5k,10.13470602,
HealthApp,10k,10.71199679,
HealthApp,20k,15.314219,
HealthApp,40k,38.86686206,
HealthApp,60k,79.223593,
HealthApp,80k,66.10181594,
HealthApp,100k,99.67043996,
OpenSSH,5k,3.21947813,
OpenSSH,10k,3.741683006,
OpenSSH,20k,5.085455894,
OpenSSH,40k,8.770600319,
OpenSSH,60k,13.2400341,
OpenSSH,80k,19.60001016,
OpenSSH,100k,28.23739076,