Dataset,size,Parse_time
Spark,5k,4.764066935
Spark,10k,6.317444086
Spark,20k,8.131629229
Spark,40k,11.77407002
Spark,60k,14.65959501
Spark,80k,18.86526108
Spark,100k,22.58641601
HDFS,5k,4.449599981
HDFS,10k,4.484446049
HDFS,20k,6.006061077
HDFS,40k,8.695929766
HDFS,60k,12.09321117
HDFS,80k,16.13685298
HDFS,100k,18.9948051
OpenStack,5k,9.664499044
OpenStack,10k,20.79074812
OpenStack,20k,59.5528419
OpenStack,40k,220.888468
OpenStack,60k,480.9171081
OpenStack,80k,770.7500532
OpenStack,100k,1158.488966
BGL,5k,5.473548174
BGL,10k,5.982296944
BGL,20k,8.354104042
BGL,40k,13.25071001
BGL,60k,16.38764381
BGL,80k,19.3652091
BGL,100k,23.4622128
HPC,5k,3.443234682
HPC,10k,3.951190948
timeout,,